ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.0003406797043081	0.000309431182852201	4.06476282524034e-08	1.07051908913826e-09	0.00190893137396027	4.06476282524034e-08	1.65222954822715e-14	4.68061991004095e-14	NA	P0AFB1
0.000347157447880687	1.39451983771588e-06	4.74292055699587e-09	2.09877854584359e-11	NA	NA	NA	NA	NA	P45753
0.000359956081488903	0.00214990511935098	3.53273162966793e-05	7.1255911773804e-07	1.17496832902709e-05	1.17496832902709e-05	1.38051813243857e-09	2.70779980753508e-09	NA	P27431
0.0003748470645298	0.0137514084410196	3.04996008006653e-08	1.11761809847083e-05	NA	NA	NA	NA	NA	P64461
0.00038218185530139	0.279196742541384	2.57203400514895e-07	1.03468808048942e-08	8.31216627048938e-11	1.03468808048942e-08	1.07057940175257e-15	3.39919309250729e-15	NA	P0A6W9
0.000385524371827447	0.000320409342267721	4.39030554750687e-10	2.51846305432609e-13	2.66196574214412e-11	2.66196574214412e-11	7.08606161197162e-21	3.83985614711683e-20	NA	P16676
0.000386227936257894	0.000302880339069739	0.0382374482899548	4.88067979493963e-05	0.00147502336666001	0.000302880339069739	9.16809420530326e-07	1.4624515204183e-06	NA	P26612
0.000386640898998414	1.3316527789109e-06	7.11419552161558e-10	1.29485655533931e-05	3.32206977408663e-14	7.11419552161558e-10	5.06117778477627e-18	1.994175331396e-17	NA	P69441
0.000391327061388255	0.0197430948296054	1.91601574609122e-07	3.34308338279714e-07	9.16385628940809e-10	1.91601574609122e-07	3.67111493248635e-13	9.36824996454327e-13	NA	P20083
0.000391621907594055	1.33462553197304e-12	0.0001355588360437	2.70300860931291e-11	2.62413678221356e-07	2.70300860931291e-11	7.30625554162473e-21	3.94961350293627e-20	NA	P65807
0.000402087909595485	0.0864484834956052	1.17161039243484e-06	2.04236935918523e-11	1.30512159168242e-09	1.30512159168242e-09	1.70334236462951e-17	6.32185773141103e-17	NA	P22255
