Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P76073;P76154	0.310861750454805	0.180867079663683	0.440856421245927	18.4247673866092	4.74511129946547	7.04333990062578e-06	1.17430478555192e-05	1.5819429827894	P76073;P76154	2	4.69548213475191	8.39543802700199e-06	1.39562448939769e-05
P0A7N9	0.264681694189417	0.151982377820509	0.377381010558325	26.0677479682011	4.66022932140617	9.89080593972923e-06	1.63461013516482e-05	1.25264931086785	P0A7N9	4	4.6861839178517	8.71445375953877e-06	1.44780625547267e-05
P0AAH4	0.174687013050036	0.101645204149646	0.247728821950426	19.8595343770833	4.74562877535053	7.02870244605838e-06	1.17255489833773e-05	1.58396200139408	P0AAH4	3	4.68554335489731	8.73685869096295e-06	1.45067724071062e-05
P0AB80	-0.131882981372776	-0.188441709372956	-0.0753242533725964	24.2429902193619	-4.62693913399327	1.12889112066546e-05	1.86023909348307e-05	1.12453808157383	P0AB80	21	-4.68165025556282	8.87423359597835e-06	1.47262340622595e-05
P76280	-0.360133608423446	-0.506685646295935	-0.213581570550957	15.4041437137216	-4.91769938171239	7.40560068349634e-06	1.2325253106983e-05	1.69146671828824	P76280	2	-4.85007116731925	8.88501272769082e-06	1.47354839086659e-05
P18776	0.395582884841939	0.226005522772936	0.565160246910943	21.7748336010554	4.62886251835087	1.12031685511885e-05	1.84718521656463e-05	1.13192382224518	P18776	8	4.67727646451141	9.03106927099922e-06	1.49689444415684e-05
P0AGA6	-0.229776916209318	-0.324491089059567	-0.135062743359068	20.0738495677157	-4.81388919477529	5.33603431505412e-06	8.96913778147171e-06	1.85149644009464	P0AGA6	2	-4.67560935789433	9.09155312117334e-06	1.5060378517286e-05
P0AFM9	-0.161365811576626	-0.229723644440607	-0.0930079787126459	20.6819434371284	-4.68411883527269	8.99255123820087e-06	1.48963794940589e-05	1.34494541549291	P0AFM9	4	-4.66354260583691	9.54120467064152e-06	1.57959943991732e-05
P61887	0.201841481799374	0.115727356302415	0.287955607296332	19.9701501369192	4.65093954177777	1.02630991267992e-05	1.69514781960143e-05	1.2168400742582	P61887	4	4.65745296907643	9.77623847314344e-06	1.6175646474266e-05
P0ABF6	-0.151898982995743	-0.21710045263965	-0.0866975133518356	21.5881260522685	-4.62276849853417	1.14770241959919e-05	1.89013702727476e-05	1.10852974768538	P0ABF6	10	-4.6545359043674	9.89080324367298e-06	1.63556448497887e-05
