Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P77689	0.0572879246295237	-0.111300154681059	0.225876003940106	21.3251257268399	0.701367585562493	0.481349730809635	0.512553453290198	-8.20005418803692	P77689	19	0.714851774536171	0.481349730809635	0.512553453290198
P0A6Y5	-0.0182792098746489	-0.0711710609766291	0.0346126412273312	22.6293228437898	-0.713309678494588	0.482901426819938	0.513846511036729	-8.19143858487376	P0A6Y5	12	-0.712298630361849	0.482901426819938	0.513846511036729
P0A6A8	0.0350743205446129	-0.0660777919630721	0.136226433052298	30.0299365211499	0.715688062954768	0.482934274962113	0.513846511036729	-8.18970605238129	P0A6A8	6	0.71224463356049	0.482934274962113	0.513846511036729
P76373	-0.0794848202993741	-0.311197730564493	0.152228089965744	19.1014008959907	-0.708016581720588	0.484397587386494	0.515206016316057	-8.19527449397639	P76373	3	-0.70984133782045	0.484397587386494	0.515206016316057
P37013	-0.0279863113351588	-0.106038064049879	0.0500654413795611	18.7459325084677	-0.740069430275243	0.491418888437258	0.522473701379483	-8.1716272330071	P37013	4	-0.698367342154299	0.491418888437258	0.522473701379483
P0ACB4	0.0155640619167734	-0.0316563491851626	0.0627844730187094	21.8831100684129	0.68030341376265	0.495943225855614	0.52708208077151	-8.21491030657835	P0ACB4	17	0.691023286066734	0.495943225855614	0.52708208077151
P0ABP6	-0.0629931345255024	-0.24503668809572	0.119050419044715	17.7699957276288	-0.714212388256906	0.499114489888559	0.530249454240582	-8.19078165732353	P0ABP6	2	-0.685898188650896	0.499114489888559	0.530249454240582
P39453	0.0471716816914274	-0.0962627418926389	0.190606105275494	22.3948936670684	0.678793118722634	0.502386075620826	0.533520943352491	-8.21595875057523	P39453	5	0.680630163323674	0.502386075620826	0.533520943352491
P0A8E5	-0.0335088899176483	-0.135668223630844	0.0686504437955476	20.7319857111626	-0.677004340560437	0.506487444889521	0.537670801917136	-8.21719761631399	P0A8E5	6	-0.674053105173896	0.506487444889521	0.537670801917136
P0A8C4	-0.0335936760165616	-0.136827642045593	0.0696402900124696	22.9567560661541	-0.67165210672094	0.509626771946399	0.540796605092968	-8.22088565184007	P0A8C4	6	-0.66903886508027	0.509626771946399	0.540796605092968
P76562	0.0264356397056957	-0.0558948174934024	0.108766096904794	18.2617997248833	0.662733251615501	0.51280597930107	0.543962322712942	-8.22696866984186	P76562	9	0.663978382922978	0.51280597930107	0.543962322712942
P0AF36	0.0274760171119688	-0.0591527054885232	0.114104739712461	24.6081690944016	0.654638181649379	0.515972698671863	0.547112380257101	-8.23242195664927	P0AF36	10	0.65895499612692	0.515972698671863	0.547112380257101
P0A6G3	0.0266778936477898	-0.0581106514909561	0.111466438786536	21.4206682275351	0.649417246038382	0.518432752635237	0.549511004702336	-8.23590476353869	P0A6G3	11	0.655064302484265	0.518432752635237	0.549511004702336
