ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0ABB0	8.32035499748836e-06	0.000160382195635435	1.23172103116053e-09	1.71466770009523e-11	6.19062930399057e-08	-11.5301412541339	9.29910151806465e-31	4.44504769660186e-30	NA
P07813	8.97963875279304e-06	0.0212465864583597	0.00020478939103843	0.000794256292503374	8.2468240790756e-09	-8.34259699457633	7.2676513103833e-17	1.83805363546906e-16	NA
P17846	9.29196281471745e-06	0.000489941589674133	1.23215946110823e-05	0.00741906589446292	3.09502797115813e-07	-8.59412087471241	8.39046678183135e-18	2.22202706498154e-17	NA
P00959	9.52506355463186e-06	3.69067692725887e-05	1.37201973459816e-05	2.06738516555613e-09	4.74530831990677e-10	-10.9252396458992	8.73096223821345e-28	3.61151472115687e-27	NA
P07363	9.55600056233619e-06	5.12729890619501e-12	6.89700675440785e-05	1.88635967589963e-07	0.0694686781896661	-9.59254280591812	8.59403987598786e-22	2.7013189460131e-21	NA
P0ADR8	9.67512109672097e-06	0.0225485718569648	1.77580336289659e-06	2.08647284825166e-05	3.40627621247856e-07	-8.93370005484326	4.11993340529903e-19	1.1618514768432e-18	NA
P0ACZ4	9.95558458143093e-06	0.0173208790615755	0.0121811102905112	2.4308346309799e-10	4.54106656351463e-07	-8.8386534349635	9.68791243539014e-19	2.70229421926621e-18	NA
P75694	1.00457939444321e-05	0.00053377588836534	3.50435142621186e-07	9.60802221805064e-11	2.37101557691508e-09	-11.0553632093923	2.06499294913617e-28	8.85985801640546e-28	NA
P08192	1.05803497816363e-05	0.00788431637269987	1.13903789522121e-09	3.77680255698674e-08	2.30244699330474e-11	-11.0031492100786	3.69015224216723e-28	1.55716314394749e-27	NA
P76049	1.07008981619398e-05	0.0836734111567418	0.0241071106511136	8.25405896137892e-08	0.0157643434202824	-6.70427887609001	2.02403393266315e-11	4.0236187928006e-11	NA
P21363	1.0782251323151e-05	1.07936622553786e-05	4.75806311294148e-06	4.11631766455719e-06	1.07822253469378e-07	-10.0927610298567	5.9472732093846e-24	2.08561909808556e-23	NA
P14081	1.08425832108821e-05	7.64111425522797e-06	1.11932300437499e-07	8.17388830969615e-05	1.24218733048514e-08	-10.3278295247614	5.27404411336469e-25	1.9318597197444e-24	NA
P04995	1.10123432052423e-05	0.00255964462759368	0.0035728619043653	2.08595384820428e-09	2.46348630103181e-10	-9.76328003085902	1.618346389429e-22	5.296406365404e-22	NA
P0A7E1	1.12294381138618e-05	0.000622203284615044	5.85311069935221e-11	9.17965558339944e-09	1.72248347687743e-06	-10.8134674336413	2.972187959331e-27	1.19301760597537e-26	NA
P76575	1.13824165881994e-05	4.23358814852039e-08	3.9350894881685e-06	4.72604635340648e-09	7.58562671027879e-09	-11.3866611490811	4.8730665175715e-30	2.26361799525902e-29	NA
P0A8F8	1.18179018496871e-05	0.0154651163594936	0.000180548778469864	2.40868868971574e-11	5.66117246013618e-11	-10.2756424481099	9.07378549149752e-25	3.31315400513634e-24	NA
P0AFS3	1.19007303625811e-05	0.0396490547519493	8.69580729746628e-05	2.77243584929338e-09	7.62721113885959e-11	-9.82419291427194	8.85807128942531e-23	2.94077755775734e-22	NA
P0AED7	1.20530126876916e-05	0.000597363494213553	5.97779616524257e-06	0.000150506441151721	1.14677955836121e-06	-9.02550441106123	1.78869413060375e-19	5.10043474865227e-19	NA
P0ABQ2	1.22666612778273e-05	6.38114604575267e-07	2.60056782057281e-05	8.86797698086307e-07	2.83717707696288e-06	-10.0286262677121	1.14092870026048e-23	3.93517922964094e-23	NA
