ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P37751	0.977481538598872	0.202537413859927	0.977481538598872	0.202537413859927	0.205097279095034
P08394	0.805603832986398	0.618070827259065	0.805603832986398	0.618070827259065	-0.0340796294139909
P0AEY3	0.633718203142797	0.801690425981491	0.633718203142797	0.801690425981491	-0.165042519318482
P76008	0.940705519713902	0.365632804048135	0.940705519713902	0.365632804048135	0.104802231880146
P0A8R7	0.570031849683347	0.846681562407171	0.570031849683347	0.846681562407171	-0.19647510638264
P00393	0.949805307505211	0.328748922953175	0.949805307505211	0.328748922953175	0.124824198887629
P0AAZ4	0.971761822398188	0.241421092714283	0.971761822398188	0.241421092714283	0.181224324419157
P13669	0.672387808295439	0.762628608257072	0.672387808295439	0.762628608257072	-0.134864795273046
P32662	0.868495467779169	0.437084980955044	0.868495467779169	0.437084980955044	0.0250719194368778
P0AA99	0.999976083101724	0.00158173584512919	0.999976083101724	0.00158173584512919	0.78250805423113
P07021	0.998225597452125	0.0279005168219279	0.998225597452125	0.0279005168219279	0.472354362721325
P0AER5	0.014860881618836	0.99958661670977	0.014860881618836	0.99958661670977	NA
P75967	0.99990227516241	0.00529065500861886	0.99990227516241	0.00529065500861886	NA
P36879	0.862305726752113	0.510574109407776	0.862305726752113	0.510574109407776	0.0197826663421411
P0AFK9	0.625068345208749	0.800813166398749	0.625068345208749	0.800813166398749	-0.162741719446885
P0AB74	0.0253343844326116	0.998067089537521	0.0253343844326116	0.998067089537521	NA
P0ADQ7	0.778486253868612	0.536471483217148	0.778486253868612	0.536471483217148	-0.0323693489735758
P08390	0.955481659450131	0.288135080103528	0.955481659450131	0.288135080103528	0.143184704095434
P0ABH9	0.944305889847153	0.327764320962702	0.944305889847153	0.327764320962702	0.120208577824449
P40874	0.96753201918004	0.235660718336115	0.96753201918004	0.235660718336115	0.181678816428931
P39274	0.321180436026811	0.930223298215683	0.321180436026811	0.930223298215683	-0.385074710515217
P28905	0.588202834192522	0.835310511454066	0.588202834192522	0.835310511454066	-0.184566995820994
P0AC78	0.277520692097245	0.964851574816191	0.277520692097245	0.964851574816191	NA
P15770	0.990447121485839	0.120740861275426	0.990447121485839	0.120740861275426	0.281715816175207
P0ACJ0	0.891805855831421	0.440263835806101	0.891805855831421	0.440263835806101	0.0504259722818189
P0CE47	0.835704408030427	0.416305168615832	0.835704408030427	0.416305168615832	NA
P0A9L8	0.899628958381148	0.398963935424557	0.899628958381148	0.398963935424557	0.0565380493162742
P75809	0.991283549778215	0.113453851785691	0.991283549778215	0.113453851785691	0.282172212908866
P0AFP6	0.966689927183002	0.265406701041754	0.966689927183002	0.265406701041754	0.157244020199
P0ABD8	0.715520697750224	0.635422308846894	0.715520697750224	0.635422308846894	-0.103226650292154
P0AG03	0.81064247993546	0.587763552603446	0.81064247993546	0.587763552603446	-0.0261489322424967
P02929	0.999749691791339	0.00919439648277176	0.999749691791339	0.00919439648277176	0.581186501821819
P31224	0.863800875002362	0.450568933837308	0.863800875002362	0.450568933837308	0.0374277512913886
P0ACW4	0.1608185789856	0.981498658054148	0.1608185789856	0.981498658054148	-0.53294983144265
P77245	0.994470497359047	0.069288627619974	0.994470497359047	0.069288627619974	0.350709812671201
P23882	0.623360877857674	0.815050516453545	0.623360877857674	0.815050516453545	-0.166305186100843
P0A7N9	0.982689278611625	0.147772988022601	0.982689278611625	0.147772988022601	0.244754957914592
P27128	0.823342361986299	0.443642751251429	0.823342361986299	0.443642751251429	0.0208837095254677
P09158	0.944577454770798	0.349521095439229	0.944577454770798	0.349521095439229	0.116002529313577
P13458	0.754986185573528	0.680083140780283	0.754986185573528	0.680083140780283	-0.0667360896188918
P33594	0.927055003577562	0.376141286243976	0.927055003577562	0.376141286243976	0.0886878167618604
P04825	0.629717727733717	0.812649671558397	0.629717727733717	0.812649671558397	-0.159114864600942
P77499	0.743763842164534	0.686671951635728	0.743763842164534	0.686671951635728	-0.0776672578883769
P26647	0.996379947766388	0.0562596786224229	0.996379947766388	0.0562596786224229	0.378801362073739
P52102	0.99590399197199	0.038054341433839	0.99590399197199	0.038054341433839	0.41247843107434
P07102	0.925856343625423	0.373590613283758	0.925856343625423	0.373590613283758	0.0933405049607564
P76540	0.818270219434807	0.365882686744938	0.818270219434807	0.365882686744938	NA
P30748	0.568277300318562	0.834882089799609	0.568277300318562	0.834882089799609	-0.204520805563986
P0A7C6	0.95527277012186	0.276430572288415	0.95527277012186	0.276430572288415	0.144454796479489
P0ADK0	0.513239913867471	0.879041129052193	0.513239913867471	0.879041129052193	-0.231036556264685
P0ADM8	0.836422287424818	0.543422094035582	0.836422287424818	0.543422094035582	-4.26563893862947e-05
P0A9H5	0.627278711921637	0.79913984334033	0.627278711921637	0.79913984334033	-0.158779216811552
P14900	0.868375551304261	0.516332471270172	0.868375551304261	0.516332471270172	0.0225463498706291
P75863	0.941666276597455	0.360243128595449	0.941666276597455	0.360243128595449	0.10906171494503
P23930	0.489388103739563	0.867570539917311	0.489388103739563	0.867570539917311	-0.232363136461281
P05706	0.999981499189054	0.00012851056175575	0.999981499189054	0.00012851056175575	1.07676814215693
P0A8U6	0.349533203147452	0.938995268725447	0.349533203147452	0.938995268725447	-0.356745900366023
P75791	0.984965312230699	0.128417144357256	0.984965312230699	0.128417144357256	0.273870122116839
P27832	0.980374242586526	0.137301614717598	0.980374242586526	0.137301614717598	NA
P0AA10	0.994363749923851	0.0788018557463153	0.994363749923851	0.0788018557463153	0.32858341338024
P0A7J0	0.454987068488414	0.903515886671672	0.454987068488414	0.903515886671672	-0.276730503640797
P45475	0.999903282386747	0.00107478629624598	0.999903282386747	0.00107478629624598	0.850094177720808
P33643	0.957605481419886	0.309049115543953	0.957605481419886	0.309049115543953	0.138559102168656
Q47679	0.76228142223564	0.684645206156891	0.76228142223564	0.684645206156891	-0.0683627648396179
P69908	0.115085723663276	0.987590938454987	0.115085723663276	0.987590938454987	-0.625969929601347
P15067	0.670781402361194	0.78573732592762	0.670781402361194	0.78573732592762	-0.135445151411224
P64467	0.761155082448452	0.612105697799042	0.761155082448452	0.612105697799042	-0.0678316692713509
P0A7C2	0.566025154806497	0.850808491603638	0.566025154806497	0.850808491603638	-0.207511946919716
