ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P07014	6.09831579626672e-16	1.32220956651113e-19	1.3332387403073e-13	1.03736938382742e-17	1.01787871593565e-20	386.580792104971	6.74079597057662e-77	4.01558845675779e-75	NA
P41409	6.479100043503e-16	5.0538777757981e-15	3.1726062460015e-15	2.06568437690861e-23	1.37873332544019e-17	384.664800715531	1.72257189385624e-76	9.57749972984071e-75	NA
P21177	6.76016824202284e-16	1.17348614074374e-17	4.05584684046701e-18	4.24542226108658e-17	1.67798314990852e-20	394.385736243682	1.47378161229199e-78	1.08452988057487e-76	NA
P21151	7.65987686806338e-16	1.08976518829092e-16	2.57953453606104e-16	1.51164053824678e-16	7.71661676884283e-21	380.387188479939	1.39870270360031e-75	7.141947274302e-74	NA
P0AD61	7.76332236946145e-16	4.83720443308477e-09	8.28888588266023e-15	1.36671596907747e-14	4.4472598211409e-20	325.691870157418	5.68248486809967e-64	1.39388011176327e-62	NA
P0A6F3	8.16445337249318e-16	3.05987371095225e-13	1.21866028612175e-15	3.27323314498137e-20	3.45456010552732e-18	365.941177443551	1.64339841450315e-72	6.42466067669823e-71	NA
P21514	9.87611301524672e-16	1.18424517069533e-16	3.77370737455287e-17	1.12149721339835e-19	6.82627746925967e-17	379.794012618506	1.86997267631766e-75	9.35734327229355e-74	NA
P69786	1.15116333103973e-15	6.14968572069803e-12	2.24384725860085e-17	4.27652206614256e-20	1.67468577630058e-23	391.181543081867	7.08135477611695e-78	5.06215704281274e-76	NA
P77674	1.29479320109794e-15	1.38322411035752e-18	1.44008822923257e-15	2.51159020796493e-19	6.94723223756532e-19	388.431172189348	2.72369337430704e-77	1.7933370585569e-75	NA
P37903	1.30049992335331e-15	1.75045149102419e-13	8.5880164397128e-15	6.38290536334179e-17	3.37997380820819e-21	360.929821803036	1.90600539338363e-71	7.33665460653208e-70	NA
P69828	1.37484013502052e-15	5.90669342619629e-18	4.09512126190978e-15	3.27726857121217e-16	1.52061757750776e-20	376.61360192103	8.8699726950284e-75	4.10975401536316e-73	NA
P0AFG8	1.71478179996264e-15	9.50710123161408e-16	9.4315181710626e-15	2.13555776238879e-18	5.7001694648991e-24	390.185764963519	1.15329918193736e-77	7.79879608974941e-76	NA
P25888	1.72720934130156e-15	9.34330886027723e-19	8.76163833183119e-20	1.27821772200427e-20	6.32822278278172e-19	414.196754264757	8.93802752821021e-83	1.24238582642122e-80	NA
