Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P03951	957100	949650	1015700	962790	1054100	1012300	879870	958690	907640	954850	908730	898690	935170	1052600	820070	920950	874630	955200	836870	951530	811390
P03952	2922100	2508400	2918000	3515400	3088700	3232500	2564900	2685400	2814100	2913800	2973600	2508500	2462400	2770700	2161500	2475100	2342200	2555800	2334100	2508500	2259400
P04003	8394400	4562800	4802100	4532000	5363200	8577300	5256800	7227300	4624600	6200200	4720200	4018800	4906400	4552500	4106400	4285600	4183900	4185700	4357600	4336500	4509300
P04004	3235600	3319500	3891400	4013700	2870500	3801600	3247800	3850500	3400100	3203600	3153700	2116300	2586200	1974800	2431200	2228500	2335900	2348400	2677600	2315300	2426800
P04040	82717	95787	78746	88271	67040	84058	107050	92091	99713	89577	98997	108430	108730	113820	102590	96721	133450	99574	166100	119490	100740
P04070	313720	277190	275590	403350	243520	421920	261740	315750	298030	336740	324090	291550	334200	403560	289550	287460	439860	287210	292780	305180	331230
P04075	298620	275990	285210	244490	192350	277290	335430	322820	304980	274360	157340	178370	241510	176240	183860	173930	233930	162570	210200	172730	159370
P04080	23589	18364	16833	13740	15778	15693	16107	21489	19666	16566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04114	35616000	29630000	30065000	65804000	31856000	35484000	28052000	39359000	36903000	34507000	42566000	25660000	28363000	38339000	19806000	23423000	51176000	31147000	36275000	28753000	32719000
P04179	20442	23713	22486	16916	19350	28969	32599	21938	19971	17368	8536.7	18806	11848	11668	16789	11726	11987	11030	11448	11727	12766
P04180	428690	358960	379190	471170	374250	549160	361540	463110	421760	402350	841240	572880	787010	711880	752650	688460	722720	688250	770230	683590	631770
P04196	2049800	1815500	1699300	1740500	1660200	2104600	2027500	1892100	2922900	1933300	2794800	3093600	2514200	3045700	2279100	2462800	1626800	2685000	2243000	2385000	2182300
P04217	1528100	1504600	1585700	1248800	1430400	1540600	1546600	1740300	1610400	1392100	1872700	1715700	1698400	1979200	1813700	2031200	1491900	1915100	1825800	1940500	1914000
P04259	483430	412950	398990	636420	409200	672910	645550	566800	398480	663560	896370	367520	692680	803160	615210	505280	807040	631610	481260	648520	579140
P04275	4894500	3035900	2055800	3764900	2422600	4395000	3759000	4226200	3022400	3257300	1870100	2253600	3909400	2280100	2931100	2295800	4406900	4267000	3352900	2349900	2990000
P04278	585970	543160	429580	663300	284710	358030	327950	460410	474390	392910	373420	312970	388040	326130	417750	513070	254630	486680	314130	328820	383790
P04406	21916	29912	25822	20608	23064	27256	29332	34188	28157	25714	51782	48107	53269	57273	55028	46611	54857	47983	90231	47820	48636
P01893;P04439	73147	44426	51610	55578	64879	65658	54728	91429	56375	56575	12400	14126	17901	17691	16983	17254	18061	17865	20361	15777	16738
P05019	108260	138760	146940	121880	136810	144310	132150	138940	118130	114550	61866	75950	85391	36618	114810	50433	59675	45947	57058	48644	54982
P05062	54398	42055	43657	42444	38023	45328	95111	63129	50012	67155	57103	34002	53315	48152	66571	49877	41473	47717	58867	48687	45504
P05067	110850	143760	148410	146800	130800	133760	140960	187210	153930	138770	44148	64147	43655	52175	44530	54164	41238	61462	41689	47548	41904
P05090	1735500	1296100	1335600	1870300	1235200	2446400	1215500	1219200	1359600	1812300	1501600	1385800	1593700	1187700	1113500	1557700	2970300	1366200	1787400	1336300	1601100
P05106	41865	42664	49862	32006	34481	38465	41762	73777	47176	42446	28979	45611	45591	50860	39652	45554	33907	75786	37561	43619	34125
P05109	484590	227540	233490	199010	261070	359250	266710	610020	361270	415310	193230	196890	192670	206440	208670	181530	304430	171880	177830	175670	272740
P05154	216220	341390	284250	359820	190040	300430	238480	362440	302640	254660	247510	297010	431000	132620	221720	121970	281970	124770	270130	126530	255170
P05155	7035400	5356600	5092900	6209900	4179300	5574300	4335300	5849700	4480600	4861700	4687400	4037400	5406000	2256400	4047100	3375700	5703800	2466500	5186100	3126600	4016100
P05156	2509400	2013400	2282300	1557200	1902700	2504900	2212100	2999000	1994100	2127700	2239700	2093800	1899700	2316400	1815100	2093000	1485900	2418600	1959100	2063700	1855300
P05160	2771900	2150200	1916300	3172100	2040200	2665800	1732200	2801800	2105700	2358800	2432000	1492700	1993100	1936800	2189500	1854200	1927700	1690700	1782900	1845700	1758800
P05362	33646	37204	33421	34712	34097	44748	39588	46985	35443	31707	65712	69394	46427	69473	68963	69785	63495	64839	73208	55647	56137
P05451;P48304	59603	12164	13147	14459	17099	31183	15682	24119	24653	16160	18314	9577.6	11906	31059	30857	14682	33070	22586	16458	15671	16801
P05543	917970	1256800	1153600	978870	859500	1046400	1207200	1277900	1013700	1082500	1240700	1277600	1094000	1351600	1197700	1470700	820340	1352500	1261300	1019700	1049800
P05546	1233900	1389400	1462900	1788400	1240400	1864100	1450000	1969700	1368900	1461100	2415400	1603700	2369200	2375300	1599900	2063000	1707100	2053400	2031100	1956600	1794600
P05556	14350	14454	14681	17403	12939	19030	11946	17162	16636	15702	40371	42428	49683	49425	54646	49242	61786	47916	41917	47677	43562
